Country,Life expectancy males,Life expectancy females,Birth rate,Death rate
Syria,69.1 years,75.2 years,20.1 ‰,5.1 ‰
Latvia,68.6 years,78.2 years,9.2 ‰,18.4 ‰
Uzbekistan,68.3 years,73.4 years,25.9 ‰,5.0 ‰
Iraq,68.2 years,72.4 years,27.4 ‰,4.8 ‰
Bulgaria,68.1 years,75.1 years,8.5 ‰,21.7 ‰
Egypt,67.9 years,72.6 years,22.6 ‰,6.3 ‰
Philippines,67.2 years,71.5 years,21.8 ‰,7.3 ‰
Cambodia,66.8 years,72.3 years,19.3 ‰,6.8 ‰
Georgia,66.8 years,76.7 years,13.4 ‰,15.2 ‰
Nepal,66.6 years,70.4 years,20.4 ‰,7.8 ‰
Armenia,66.6 years,77.4 years,12.0 ‰,13.0 ‰
Mongolia,66.5 years,75.7 years,21.4 ‰,6.1 ‰
Kazakhstan,66.3 years,74.0 years,23.5 ‰,9.6 ‰
Venezuela,66.3 years,75.2 years,15.9 ‰,8.1 ‰
Laos,66.2 years,70.1 years,22.0 ‰,6.6 ‰
East Timor,66.1 years,69.5 years,24.9 ‰,7.2 ‰
El Salvador,66.1 years,75.1 years,16.0 ‰,8.7 ‰
Mexico,66.1 years,74.9 years,14.9 ‰,9.4 ‰
Guatemala,66.0 years,72.7 years,21.1 ‰,6.5 ‰
India,65.8 years,68.9 years,16.4 ‰,9.4 ‰
Azerbaijan,65.6 years,73.3 years,11.1 ‰,7.6 ‰
Indonesia,65.5 years,69.7 years,16.4 ‰,10.1 ‰
Fiji,65.4 years,68.9 years,19.3 ‰,8.9 ‰
Ukraine,65.2 years,74.4 years,7.3 ‰,18.5 ‰
Senegal,64.8 years,69.3 years,32.6 ‰,5.9 ‰
Russia,64.2 years,74.8 years,9.6 ‰,16.7 ‰
Tanzania,64.2 years,68.3 years,36.2 ‰,6.2 ‰
Pakistan,63.8 years,68.6 years,27.5 ‰,7.2 ‰
Sudan,62.7 years,67.9 years,33.6 ‰,6.8 ‰
Myanmar,62.5 years,69.0 years,17.1 ‰,9.8 ‰
Ethiopia,61.9 years,68.3 years,32.4 ‰,6.8 ‰
Ghana,61.6 years,66.0 years,27.5 ‰,7.6 ‰
Bolivia,60.9 years,66.8 years,21.8 ‰,9.9 ‰
Yemen,60.6 years,67.1 years,30.5 ‰,6.8 ‰
Niger,60.4 years,62.8 years,45.3 ‰,8.1 ‰
Haiti,60.4 years,66.1 years,23.5 ‰,8.7 ‰
South Africa,59.5 years,65.0 years,19.8 ‰,11.4 ‰
Angola,59.0 years,64.3 years,38.8 ‰,8.0 ‰
Kenya,58.9 years,64.1 years,27.7 ‰,8.1 ‰
Afghanistan,58.9 years,65.3 years,35.8 ‰,7.3 ‰
Cameroon,58.7 years,62.0 years,34.9 ‰,8.6 ‰
Zambia,58.5 years,63.9 years,34.5 ‰,7.0 ‰
Ivory Coast,57.4 years,59.9 years,33.9 ‰,9.0 ‰
Congo (Dem. Republic),57.0 years,61.5 years,42.0 ‰,9.7 ‰
Zimbabwe,56.2 years,62.0 years,30.5 ‰,9.1 ‰
Somalia,53.2 years,57.4 years,43.6 ‰,11.6 ‰
Nigeria,52.3 years,53.1 years,37.1 ‰,13.1 ‰
Chad,50.8 years,54.3 years,43.4 ‰,12.5 ‰
